Бумага,ISIN,"Текущий купон, %","Индикативная цена, %","Индикативная доходность, %","G-spread, бп",Ликвидность,Уровень ликвидности,"Δ индикатив. цены за 1 день, %","Δ индикатив. цены за 1 неделю, %","Δ индикатив. цены за 1 месяц, %","Δ индикатив. цены за 3 месяца, %","Дюрация, дней",Модифицированная дюрация,Оферта (call),"Срок до погашения, лет",Погашение,Страна,Эмитент,SPV,Сектор,Отрасль,Валюта,Статус,Купон,Периодичность купона,Тип ставки,Вид облигации,Непогаш. ном.,Рейтинг эмитента АКРА,Рейтинг эмитента Эксперт РА,Рейтинг эмитента НКР,Рейтинг эмитента НРА,Начало размещения,Окончание размещения,Дата торгов
"Sber CIB, 15.95% 29apr2026, RUB (ЦФА)",,"15,950",,,,,,,,,,,,,,29.04.2026,Россия,Sber CIB,,Корпоративный,Финансовые рынки,RUB,В обращении,15.95% годовых,,Фиксированная,Процент при погашении,"56 886 000,000000",AAA(RU),ruAAA,,,29.01.2026,29.01.2026,
"Sber CIB, 15.95% 29apr2026, RUB (ЦФА)",,"15,950",,,,,,,,,,,,,,29.04.2026,Россия,Sber CIB,,Корпоративный,Финансовые рынки,RUB,В обращении,15.95% годовых,,Фиксированная,Процент при погашении,"60 890 000,000000",AAA(RU),ruAAA,,,28.01.2026,28.01.2026,
"Sber CIB, 15.95% 3mar2026, RUB (ЦФА)",,"15,950",,,,,,,,,,,,,,03.03.2026,Россия,Sber CIB,,Корпоративный,Финансовые рынки,RUB,В обращении,15.95% годовых (расч.),,Фиксированная,Процент при погашении,"235 378 300,000000",AAA(RU),ruAAA,,,03.09.2025,03.09.2025,
"Sber CIB, 16% 10mar2026, RUB (ЦФА)",,"16,000",,,,,,,,,,,,,,10.03.2026,Россия,Sber CIB,,Корпоративный,Финансовые рынки,RUB,В обращении,16% годовых (расч.),,Фиксированная,Процент при погашении,"695 356 500,000000",AAA(RU),ruAAA,,,10.09.2025,10.09.2025,
"Sber CIB, 16% 17apr2026, RUB (ЦФА)",,,,,,,,,,,,,,,,17.04.2026,Россия,Sber CIB,,Корпоративный,Финансовые рынки,RUB,В обращении,16% годовых (расч.),,Фиксированная,Процент при погашении,"1 000 000 000,000000",AAA(RU),ruAAA,,,17.12.2025,17.12.2025,
"Sber CIB, 16% 17apr2026, RUB (ЦФА)",,,,,,,,,,,,,,,,17.04.2026,Россия,Sber CIB,,Корпоративный,Финансовые рынки,RUB,В обращении,16% (расч.) годовых,,Фиксированная,Процент при погашении,"1 000 000 000,000000",AAA(RU),ruAAA,,,18.12.2025,18.12.2025,
"Sber CIB, 16% 24apr2026, RUB (ЦФА)",,"16,000",,,,,,,,,,,,,,24.04.2026,Россия,Sber CIB,,Корпоративный,Финансовые рынки,RUB,В обращении,16% годовых,,Фиксированная,Процент при погашении,"648 700 000,000000",AAA(RU),ruAAA,,,26.01.2026,26.01.2026,
"Sber CIB, 16% 24apr2026, RUB (ЦФА)",,"16,000",,,,,,,,,,,,,,24.04.2026,Россия,Sber CIB,,Корпоративный,Финансовые рынки,RUB,В обращении,16% годовых,,Фиксированная,Процент при погашении,"499 000 000,000000",AAA(RU),ruAAA,,,23.01.2026,23.01.2026,
"Sber CIB, 16% 27apr2026, RUB (ЦФА)",,"16,000",,,,,,,,,,,,,,27.04.2026,Россия,Sber CIB,,Корпоративный,Финансовые рынки,RUB,В обращении,16% годовых (расч.),,Фиксированная,Процент при погашении,"656 681 206,000000",AAA(RU),ruAAA,,,27.01.2026,27.01.2026,
"Sber CIB, 16% 28apr2026, RUB (ЦФА)",,"16,000",,,,,,,,,,,,,,28.04.2026,Россия,Sber CIB,,Корпоративный,Финансовые рынки,RUB,В обращении,16% годовых (расч.),,Фиксированная,Процент при погашении,"1 014 289 234,000000",AAA(RU),ruAAA,,,27.01.2026,27.01.2026,
"Sber CIB, 16% 2mar2026, RUB (ЦФА)",,,,,,,,,,,,,,,,02.03.2026,Россия,Sber CIB,,Корпоративный,Финансовые рынки,RUB,В обращении,16% (расч.) годовых,,Фиксированная,Процент при погашении,"10 000 000 000,000000",AAA(RU),ruAAA,,,29.01.2026,29.01.2026,
