Бумага,ISIN,"Текущий купон, %","Индикативная цена, %","Индикативная доходность, %","G-spread, бп",Ликвидность,Уровень ликвидности,"Δ индикатив. цены за 1 день, %","Δ индикатив. цены за 1 неделю, %","Δ индикатив. цены за 1 месяц, %","Δ индикатив. цены за 3 месяца, %","Дюрация, дней",Модифицированная дюрация,Оферта (call),"Срок до погашения, лет",Погашение,Страна,Эмитент,SPV,Сектор,Отрасль,Валюта,Статус,Купон,Периодичность купона,Тип ставки,Вид облигации,Непогаш. ном.,Рейтинг эмитента АКРА,Рейтинг эмитента Эксперт РА,Рейтинг эмитента НКР,Рейтинг эмитента НРА,Начало размещения,Окончание размещения,Дата торгов
"Аренза-Про, 001P-04",RU000A107ST1,"16,500","99,51","21,242","747,08",6,средняя,"-0,22","0,02","0,16","0,64","126,18","0,29",,"3,06",21.03.2029,Россия,Аренза-Про,,Корпоративный,Лизинг и аренда,RUB,В обращении,"1-24 купоны - 16.5% годовых, 25-28 купоны - 18% годовых, купоны 29-60 устанавливаются эмитентом",12,Фиксированная,Купонные,"1 000,000000",BBB(RU),Withdrawn,,,16.02.2024,27.04.2024,27.02.2026
"Аренза-Про, 001P-07",RU000A10EAB8,"19,000","101,35","19,878","531,47",,,"0,42","0,25",,,"679,04","1,55",,"3,03",08.03.2029,Россия,Аренза-Про,,Корпоративный,Лизинг и аренда,RUB,В обращении,1-36 купоны - 19% годовых.,12,Фиксированная,Купонные,"1 000,000000",BBB(RU),Withdrawn,,,16.02.2026,16.02.2026,27.02.2026
"Артген Биотех, БО-01",RU000A103DT2,"10,750","97,17","20,453","667,57",6,средняя,"0,15","0,15","0,60","2,92","128,58","0,29",,"0,36",08.07.2026,Россия,Артген Биотех,,Корпоративный,Производство лекарств и биотехнологии,RUB,В обращении,1-20 купоны - 10.75% годовых,4,Фиксированная,Купонные,"1 000,000000",BBB-(RU),-,,,14.07.2021,14.07.2021,27.02.2026
"Артген Биотех, БО-02",RU000A10DY27,"21,000","103,70","21,692","694,14",6,средняя,"0,02","-0,80","-2,95",,"1 119,21","2,52",17.01.2027,"4,75",27.11.2030,Россия,Артген Биотех,,Корпоративный,Производство лекарств и биотехнологии,RUB,В обращении,1-60 купоны - 21% годовых.,12,Фиксированная,Купонные,"1 000,000000",BBB-(RU),-,,,23.12.2025,23.12.2025,27.02.2026
"Атомстройкомплекс-Строительство, БО-П01",RU000A102VY6,"8,500","99,58","17,295","382,48",6,средняя,"0,08","0,19","0,64","1,91","19,00","0,04",,"0,05",18.03.2026,Россия,Атомстройкомплекс-Строительство,,Корпоративный,Строительство зданий,RUB,В обращении,"1-3 купоны - 8.5% годовых, 4-10 купоны - 8.5% годовых",2,Фиксированная,Купонные,"1 000,000000",A-(RU),-,,,24.03.2021,24.03.2021,27.02.2026
"Атомэнергопром, 001P-01",RU000A103AT8,"7,500","98,77","11,951","-178,49",6,средняя,"0,26","0,86","1,38","2,77","112,00","0,27",,"0,31",19.06.2026,Россия,Атомэнергопром,,Корпоративный,Электроэнергетика,RUB,В обращении,1-10 купоны - 7.5% годовых,2,Фиксированная,Купонные,"1 000,000000",AAA(RU),ruAAA,,,25.06.2021,25.06.2021,27.02.2026
"Атомэнергопром, 001P-05",RU000A10BFG2,"17,300","109,25","15,069","32,12",7,высокая,"-0,10","-0,17","1,28","0,75","1 105,17","2,63",,"4,12",11.04.2030,Россия,Атомэнергопром,,Корпоративный,Электроэнергетика,RUB,В обращении,1-20 купоны - 17.3% годовых.,4,Фиксированная,Купонные,"1 000,000000",AAA(RU),ruAAA,,,17.04.2025,17.04.2025,27.02.2026
"Атомэнергопром, 001P-07",RU000A10C6L5,"14,350","99,80","15,209","44,50",5,средняя,"-0,05","-0,38","1,42","1,22","1 199,76","2,85",,"4,39",19.07.2030,Россия,Атомэнергопром,,Корпоративный,Электроэнергетика,RUB,В обращении,1-20 купоны - 14.35% годовых.,4,Фиксированная,Купонные,"1 000,000000",AAA(RU),ruAAA,,,25.07.2025,01.08.2025,27.02.2026
"Атомэнергопром, 001P-08",RU000A10CT33,"14,700","101,38","15,063","29,74",7,высокая,"0,01","0,19","1,52","1,44","1 212,67","2,89",,"4,56",17.09.2030,Россия,Атомэнергопром,,Корпоративный,Электроэнергетика,RUB,В обращении,1-20 купоны - 14.7% годовых.,4,Фиксированная,Купонные,"1 000,000000",AAA(RU),ruAAA,,,23.09.2025,23.09.2025,27.02.2026
"Атомэнергопром, 001P-09",RU000A10DPS2,"15,100","102,66","15,166","39,07",7,высокая,"-0,04","-0,71","1,62","2,00","1 319,81","3,14",,"5,25",29.05.2031,Россия,Атомэнергопром,,Корпоративный,Электроэнергетика,RUB,В обращении,1-22 купоны - 15.1% годовых.,4,Фиксированная,Купонные,"1 000,000000",AAA(RU),ruAAA,,,04.12.2025,04.12.2025,27.02.2026
"Атомэнергопром, 001P-10",RU000A10DYG9,"15,150","102,70","15,209","43,29",7,высокая,"-0,14","-0,97","1,59",,"1 338,47","3,18",,"5,31",18.06.2031,Россия,Атомэнергопром,,Корпоративный,Электроэнергетика,RUB,В обращении,1-22 купоны - 15.15% годовых.,4,Фиксированная,Купонные,"1 000,000000",AAA(RU),ruAAA,,,24.12.2025,24.12.2025,27.02.2026
"Аэрофлот, П01-БО-01",RU000A103943,"8,350","98,19","15,801","209,13",5,средняя,"-0,01","0,01","0,74","1,92","102,11","0,24",,"0,28",11.06.2026,Россия,Аэрофлот,,Корпоративный,Воздушный транспорт,RUB,В обращении,1-20 купоны - 8.35% годовых,4,Фиксированная,Купонные,"1 000,000000",AA(RU),ruAA,,,17.06.2021,17.06.2021,27.02.2026
"Баимская Холдинг, 001Р-01",RU000A10ABR0,"0,010",,,,,,,,,,,,,,22.06.2043,Россия,Баимская Холдинг,,Корпоративный,Холдинги,RUB,В обращении,1-19 купоны - 0.01% годовых,1,Фиксированная,Купонные,"1 000,000000",A(RU),-,,,25.12.2024,25.12.2024,
"Баимская Холдинг, 001Р-02",RU000A10BU72,"0,010",,,,,,,,,,,,,,21.06.2043,Россия,Баимская Холдинг,,Корпоративный,Холдинги,RUB,В обращении,1 купон - 0.01% годовых.,1,Фиксированная,Купонные,"1 000,000000",A(RU),-,,,25.06.2025,03.07.2025,
"Балтийский лизинг, БО-П07",RU000A106144,"11,000","99,83","13,591","9,59",6,средняя,"0,16","0,11","0,60","2,15","27,00","0,07",26.03.2026,"7,05",17.03.2033,Россия,Балтийский лизинг,,Корпоративный,Лизинг и аренда,RUB,В обращении,"1-6 купоны - 11% годовых, 7-20 купоны - ставку определяет эмитент.",2,Фиксированная,Купонные,"340,000000",AA-(RU),ruAA-,,,30.03.2023,30.03.2023,27.02.2026
"Балтийский лизинг, БО-П08",RU000A106EM8,"21,850","100,62","21,450","774,64",7,высокая,"0,00","0,28","0,18","-1,30","99,67","0,22",,"7,26",31.05.2033,Россия,Балтийский лизинг,,Корпоративный,Лизинг и аренда,RUB,В обращении,"1-24 купоны - 10.7% годовых, 25-36 купоны - 21.85% годовых, 37-121 купоны - ставку определяет эмитент.",12,Фиксированная,Купонные,"1 000,000000",AA-(RU),ruAA-,,,23.06.2023,23.06.2023,27.02.2026
"Балтийский лизинг, БО-П09",RU000A107CD9,"15,900",,,,,,,,,,,,11.12.2026,,04.12.2033,Россия,Балтийский лизинг,,Корпоративный,Лизинг и аренда,RUB,В обращении,"1-36 купоны - 15.9% годовых, 37-121 купоны - ставка купона определяется решением эмитента",12,Фиксированная,Купонные,"350,000000",AA-(RU),ruAA-,,,27.12.2023,27.12.2023,
"Балтийский лизинг, БО-П15",RU000A10ATW2,"23,700","103,31","22,210","799,77",7,высокая,"0,12","-0,65","-0,94","-3,07","349,29","0,78",,"1,96",13.02.2028,Россия,Балтийский лизинг,,Корпоративный,Лизинг и аренда,RUB,В обращении,1-36 купон - 23.7% годовых.,12,Фиксированная,Купонные,"1 000,000000",AA-(RU),ruAA-,,,28.02.2025,28.02.2025,27.02.2026
"Балтийский лизинг, БО-П16",RU000A10BJX9,"22,250","102,02","22,336","806,84",7,высокая,"-0,02","-0,13","-0,45","-2,78","387,43","0,87",14.05.2028,"9,20",08.05.2035,Россия,Балтийский лизинг,,Корпоративный,Лизинг и аренда,RUB,В обращении,"1-36 купоны - 22.25% годовых, 37-121 купоны - ставку определяет эмитент",12,Фиксированная,Купонные,"1 000,000000",AA-(RU),ruAA-,,,30.05.2025,30.05.2025,27.02.2026
"Балтийский лизинг, БО-П18",RU000A10BZJ4,"19,000","98,49","22,328","801,27",7,высокая,"0,33","0,26","-0,63","-1,52","423,31","0,95",05.07.2028,"9,34",29.06.2035,Россия,Балтийский лизинг,,Корпоративный,Лизинг и аренда,RUB,В обращении,1-36 купоны - 19% годовых.,12,Фиксированная,Купонные,"1 000,000000",AA-(RU),ruAA-,,,21.07.2025,21.07.2025,27.02.2026
"Балтийский лизинг, БО-П19",RU000A10CC32,"17,000","95,04","23,124","875,75",7,высокая,"0,38","0,22","1,64","-1,16","464,57","1,03",27.08.2028,"9,48",21.08.2035,Россия,Балтийский лизинг,,Корпоративный,Лизинг и аренда,RUB,В обращении,1-36 купоны - 17% годовых.,12,Фиксированная,Купонные,"1 000,000000",AA-(RU),ruAA-,,,12.09.2025,12.09.2025,27.02.2026
"Балтийский лизинг, БО-П20",RU000A10D616,"18,750","99,13","21,188","675,44",7,высокая,"-0,10","-0,29","-0,04","-0,82","526,89","1,19",12.11.2028,"9,70",06.11.2035,Россия,Балтийский лизинг,,Корпоративный,Лизинг и аренда,RUB,В обращении,"1-36 купоны - 18.75% годовых, 37-121 купоны - ставку определяет эмитент.",12,Фиксированная,Купонные,"1 000,000000",AA-(RU),ruAA-,,,28.11.2025,28.11.2025,27.02.2026
"Брусника. Строительство и девелопмент, 002P-02",RU000A107UU5,"21,000","98,33","26,390","1 237,74",7,высокая,"0,20","-0,23","-0,88","-1,74","234,30","0,51",,"1,08",28.03.2027,Россия,Брусника. Строительство и девелопмент,,Корпоративный,Строительство зданий,RUB,В обращении,"1-18 купоны - 16.25% годовых, ставка 19-36 купоны - 21% годовых.",12,Фиксированная,Купонные,"1 000,000000",A-(RU),Withdrawn,A-.ru,,07.03.2024,07.03.2024,27.02.2026
"Брусника. Строительство и девелопмент, 002Р-04",RU000A10C8F3,"21,500","97,83","25,195","1 063,08",7,высокая,"0,12","-1,01","-1,54","-3,77","680,59","1,49",,"2,40",23.07.2028,Россия,Брусника. Строительство и девелопмент,,Корпоративный,Строительство зданий,RUB,В обращении,1-36 купоны - 21.5% годовых.,12,Фиксированная,Купонные,"1 000,000000",A-(RU),Withdrawn,A-.ru,,08.08.2025,08.08.2025,27.02.2026
"Брусника. Строительство и девелопмент, 002Р-05",RU000A10B313,"24,750","100,80","25,806","1 189,32",7,высокая,"0,23","0,17","-0,28","-2,36","186,39","0,41",,"2,01",03.03.2028,Россия,Брусника. Строительство и девелопмент,,Корпоративный,Строительство зданий,RUB,В обращении,"1-18 купоны - 24.75%, 19-36 купоны - ставку определяет эмитент.",12,Фиксированная,Купонные,"1 000,000000",A-(RU),Withdrawn,A-.ru,,19.03.2025,19.03.2025,27.02.2026
"Брусника. Строительство и девелопмент, 002Р-06",RU000A10EC63,"22,750","98,57","26,413","1 192,34",,,"0,11",,,,"585,75","1,27",,"2,96",10.02.2029,Россия,Брусника. Строительство и девелопмент,,Корпоративный,Строительство зданий,RUB,В обращении,"1-24 купоны - 22.75% годовых, 25-36 купоны - ставку определяет эмитент",12,Фиксированная,Купонные,"1 000,000000",A-(RU),Withdrawn,A-.ru,,26.02.2026,26.02.2026,27.02.2026
"ВТБ-Лизинг, 001Р-МБ-01",RU000A108Z93,"17,750","101,18","15,177","141,85",6,средняя,"-0,23","-0,31","0,21","-1,15","120,78","0,29",,"0,34",02.07.2026,Россия,ВТБ-Лизинг,,Корпоративный,Лизинг и аренда,RUB,В обращении,1-24 купоны - 17.75% годовых.,12,Фиксированная,Купонные,"1 000,000000",AA(RU),ruAA,,,12.07.2024,26.07.2024,27.02.2026
"ВТБ-Лизинг, 001Р-МБ-03",RU000A10CQE2,"15,500","100,72","15,908","161,24",7,высокая,"0,16","0,17","0,57","0,90","408,09","0,96",,"2,50",27.08.2028,Россия,ВТБ-Лизинг,,Корпоративный,Лизинг и аренда,RUB,В обращении,1-36 купоны - 15.5% годовых.,12,Фиксированная,Купонные,"917,000000",AA(RU),ruAA,,,12.09.2025,12.09.2025,27.02.2026
"ВТБ-Лизинг, 001Р-МБ-04",RU000A10DTG9,"16,500","101,84","16,120","176,03",7,высокая,"0,12","0,19","0,53",,"459,22","1,08",,"2,76",30.11.2028,Россия,ВТБ-Лизинг,,Корпоративный,Лизинг и аренда,RUB,В обращении,1-36 купоны - 16.5% годовых.,12,Фиксированная,Купонные,"1 000,000000",AA(RU),ruAA,,,16.12.2025,16.12.2025,27.02.2026
"ВУШ, 001P-04",RU000A10BS76,"20,250","97,99","23,610","906,42",7,высокая,"1,06","1,37","0,37","-4,35","655,19","1,45",,"2,24",26.05.2028,Россия,ВУШ,,Корпоративный,Другие отрасли,RUB,В обращении,1-36 купоны - 20.25% годовых,12,Фиксированная,Купонные,"1 000,000000",A-(RU),-,,,11.06.2025,11.06.2025,27.02.2026
"ВУШ, 001P-05",RU000A10E6D0,"22,000","99,55","24,718","1 025,14",,,"0,17","0,33",,,"561,08","1,23",,"1,89",19.01.2028,Россия,ВУШ,,Корпоративный,Другие отрасли,RUB,В обращении,1-24 купоны - 22% годовых.,12,Фиксированная,Купонные,"1 000,000000",A-(RU),-,,,29.01.2026,27.02.2026,27.02.2026
"ВУШ, 001Р-02",RU000A106HB4,"11,800","96,29","25,464","1 170,16",7,высокая,"0,36","0,34","1,81","2,22","122,33","0,27",,"0,34",02.07.2026,Россия,ВУШ,,Корпоративный,Другие отрасли,RUB,В обращении,1-12 купоны - 11.8% годовых.,4,Фиксированная,Купонные,"1 000,000000",A-(RU),-,,,06.07.2023,06.07.2023,27.02.2026
"ВЭБ.РФ, 18",RU000A0JT403,"17,090","106,88","12,535","-187,00",5,средняя,"-3,05","-3,01","-1,54","0,87","499,12","1,22",,"6,56",17.09.2032,Россия,ВЭБ.РФ,,Корпоративный,Институты развития и государственные агентства,RUB,В обращении,"1-6 купоны - 8.55% годовых, 7-8 купоны - 11.9% годовых, 9-14: 9.8%, 15-24 купоны - 7.67% годовых, 25 купон-18.57% годовых, 26-30 купоны - 17.09% годовых, 31-40 купоны - ставку определяет эмитент",2,Фиксированная,Купонные,"1 000,000000",AAA(RU),Withdrawn,AAA.ru,,12.10.2012,12.10.2012,27.02.2026
"ВЭБ.РФ, 19",RU000A0JT6B2,"14,210","99,98","14,596","106,84",6,средняя,"0,02","0,06","0,33","0,50","37,74","0,09",,"6,58",23.09.2032,Россия,ВЭБ.РФ,,Корпоративный,Институты развития и государственные агентства,RUB,В обращении,"1-6 купоны - 8,55% годовых, 7-8 купоны - 11.9% годовых, 9-17 купоны - 9.75% годовых, 18-23 купоны - 7.48% годовых, 24 - 27 купоны - 14.21% годовых, 28-40 купоны - ставку определяет эмитент",2,Фиксированная,Купонные,"1 000,000000",AAA(RU),Withdrawn,AAA.ru,,18.10.2012,18.10.2012,27.02.2026
"ВЭБ.РФ, 21",RU000A0JS4Z7,"19,150","107,91","13,577","-82,91",5,средняя,"-0,77",,"0,54","0,90","500,14","1,21",,"5,98",17.02.2032,Россия,ВЭБ.РФ,,Корпоративный,Институты развития и государственные агентства,RUB,В обращении,"1-6 купоны - 8,4%, 7 купон - 15.5% годовых, 8-9 купоны - 11.65% годовых, 10-14 купоны - 10% годовых, 15-20 купоны - 8.82% годовых, 21-22 купоны - 10.99% годовых, 23-26 купоны - 9.28% годовых, 27-31 купоны - 19.15% годовых, 32-40 купоны - ставку определяет эмитент.",2,Фиксированная,Купонные,"1 000,000000",AAA(RU),Withdrawn,AAA.ru,,13.03.2012,13.03.2012,27.02.2026
"ВЭБ.РФ, ПБО-001P-18",RU000A1013P1,"7,270","94,97","15,388","133,35",5,средняя,"0,02","0,13","0,91","1,45","256,41","0,61",,"0,72",17.11.2026,Россия,ВЭБ.РФ,,Корпоративный,Институты развития и государственные агентства,RUB,В обращении,1-14 купоны - 7.27% годовых,2,Фиксированная,Купонные,"1 000,000000",AAA(RU),Withdrawn,AAA.ru,,26.11.2019,26.11.2019,27.02.2026
"ВЭБ.РФ, ПБО-001Р-19",RU000A101TB0,"6,590","90,95","15,091","74,29",7,высокая,"0,08","0,44","1,23","1,93","449,76","1,07",,"1,28",10.06.2027,Россия,ВЭБ.РФ,,Корпоративный,Институты развития и государственные агентства,RUB,В обращении,1-14 купоны - 6.59% годовых,2,Фиксированная,Купонные,"1 000,000000",AAA(RU),Withdrawn,AAA.ru,,18.06.2020,18.06.2020,27.02.2026
"ВЭБ.РФ, ПБО-001Р-24",RU000A1031S7,"8,130",,,,,,,,,,,,,,18.04.2028,Россия,ВЭБ.РФ,,Корпоративный,Институты развития и государственные агентства,RUB,В обращении,1-14 купоны - 8.13% годовых,2,Фиксированная,Купонные,"1 000,000000",AAA(RU),Withdrawn,AAA.ru,,27.04.2021,27.04.2021,
"ВЭБ.РФ, ПБО-001Р-25",RU000A1031T5,"8,130",,,,,,,,,,,,,,18.04.2028,Россия,ВЭБ.РФ,,Корпоративный,Институты развития и государственные агентства,RUB,В обращении,1-14 купоны - 8.13% годовых,2,Фиксированная,Купонные,"1 000,000000",AAA(RU),Withdrawn,AAA.ru,,27.04.2021,27.04.2021,
"ВЭБ.РФ, ПБО-001Р-26",RU000A1031U3,"8,130","89,17","14,662","7,93",5,средняя,"-0,54","-0,52","-0,70","0,81","707,43","1,69",,"2,14",18.04.2028,Россия,ВЭБ.РФ,,Корпоративный,Институты развития и государственные агентства,RUB,В обращении,1-14 купоны - 8.13% годовых,2,Фиксированная,Купонные,"1 000,000000",AAA(RU),Withdrawn,AAA.ru,,27.04.2021,27.04.2021,27.02.2026
"ВЭБ.РФ, ПБО-001Р-28",RU000A1031Y5,"7,970","99,49","11,321","-227,55",5,средняя,"0,35","0,47","1,37","1,99","61,00","0,15",,"0,17",29.04.2026,Россия,ВЭБ.РФ,,Корпоративный,Институты развития и государственные агентства,RUB,В обращении,1-10 купоны - 7.97% годовых,2,Фиксированная,Купонные,"1 000,000000",AAA(RU),Withdrawn,AAA.ru,,05.05.2021,05.05.2021,27.02.2026
"ВЭБ.РФ, ПБО-001Р-29",RU000A1031Z2,"7,970","98,71","16,274","267,16",6,средняя,"0,04","0,11","0,65","2,16","63,00","0,15",,"0,17",01.05.2026,Россия,ВЭБ.РФ,,Корпоративный,Институты развития и государственные агентства,RUB,В обращении,1-10 купоны - 7.97% годовых,2,Фиксированная,Купонные,"1 000,000000",AAA(RU),Withdrawn,AAA.ru,,07.05.2021,07.05.2021,27.02.2026
"ВЭБ.РФ, ПБО-001Р-32",RU000A104Z63,"10,200",,,,,,,,,,,,14.01.2028,,13.07.2029,Россия,ВЭБ.РФ,,Корпоративный,Институты развития и государственные агентства,RUB,В обращении,1-14 купоны - 10.2% годовых,2,Фиксированная,Купонные,"1 000,000000",AAA(RU),Withdrawn,AAA.ru,,22.07.2022,22.07.2022,
"ВЭБ.РФ, ПБО-002Р-33",RU000A104Z48,"10,200","94,12","15,627","124,82",5,средняя,"-0,38","0,06","0,37","0,72","476,08","1,13",,"1,38",15.07.2027,Россия,ВЭБ.РФ,,Корпоративный,Институты развития и государственные агентства,RUB,В обращении,1-10 купоны - 10.2% годовых,2,Фиксированная,Купонные,"1 000,000000",AAA(RU),Withdrawn,AAA.ru,,21.07.2022,21.07.2022,27.02.2026
"ВЭБ.РФ, ПБО-002Р-44",RU000A107XD5,"15,200","102,25","15,187","41,43",5,средняя,"0,00","1,17","0,34",,"1 587,27","3,78",09.12.2027,"6,77",02.12.2032,Россия,ВЭБ.РФ,,Корпоративный,Институты развития и государственные агентства,RUB,В обращении,1-14 купоны - 15.2% годовых.,2,Фиксированная,Купонные,"1 000,000000",AAA(RU),Withdrawn,AAA.ru,,11.12.2025,11.12.2025,27.02.2026
"ВЭБ.РФ, ПБО-002Р-К504",RU000A107XG8,"21,100",,,,,,,,,,,,,,27.04.2026,Россия,ВЭБ.РФ,,Корпоративный,Институты развития и государственные агентства,RUB,В обращении,1 купон - 21.1% годовых,1,Фиксированная,Купонные,"1 000,000000",AAA(RU),Withdrawn,AAA.ru,,28.04.2025,30.04.2025,
"ВЭБ.РФ, ПБО-002Р-К598",RU000A10ADB0,"20,500",,,,,,,,,,,,,,14.05.2026,Россия,ВЭБ.РФ,,Корпоративный,Институты развития и государственные агентства,RUB,В обращении,1 купон - 20.5% годовых,1,Фиксированная,Купонные,"1 000,000000",AAA(RU),Withdrawn,AAA.ru,,15.05.2025,15.05.2025,
"ВЭБ.РФ, ПБО-002Р-К599",RU000A10ADC8,"15,650",,,,,,,,,,,,06.08.2026,,04.02.2027,Россия,ВЭБ.РФ,,Корпоративный,Институты развития и государственные агентства,RUB,В обращении,1 купон - 15.65% годовых.,1,Фиксированная,Купонные,"1 000,000000",AAA(RU),Withdrawn,AAA.ru,,05.02.2026,09.02.2026,
"ВЭБ.РФ, ПБО-002Р-К682",RU000A10DU47,"15,040",,,,,,,,,,,,20.03.2026,,21.05.2026,Россия,ВЭБ.РФ,,Корпоративный,Институты развития и государственные агентства,RUB,В обращении,1 купон - 15.04% годовых.,1,Фиксированная,Купонные,"1 000,000000",AAA(RU),Withdrawn,AAA.ru,,20.02.2026,25.02.2026,
"ВЭБ.РФ, ПБО-002Р-К686",RU000A10DU88,"15,020","196,08","7,660",,,,"0,00","96,08",,,,,12.03.2026,"0,22",20.05.2026,Россия,ВЭБ.РФ,,Корпоративный,Институты развития и государственные агентства,RUB,В обращении,1 купон - 15.02% годовых.,1,Фиксированная,Купонные,"1 000,000000",AAA(RU),Withdrawn,AAA.ru,,19.02.2026,24.02.2026,27.02.2026
"ВЭБ.РФ, ПБО-002Р-К687",RU000A10DU96,"15,080","196,08","7,691",,,,"0,00","96,08",,,,,04.03.2026,"0,22",19.05.2026,Россия,ВЭБ.РФ,,Корпоративный,Институты развития и государственные агентства,RUB,В обращении,1 купон - 15.08% годовых.,1,Фиксированная,Купонные,"1 000,000000",AAA(RU),Withdrawn,AAA.ru,,18.02.2026,20.02.2026,27.02.2026
"ВЭБ.РФ, ПБО-002Р-К688",RU000A10DUA0,"15,060",,,,,,,,,,,,11.03.2026,,26.05.2026,Россия,ВЭБ.РФ,,Корпоративный,Институты развития и государственные агентства,RUB,В обращении,1 купон - 15.06% годовых.,1,Фиксированная,Купонные,"1 000,000000",AAA(RU),Withdrawn,AAA.ru,,25.02.2026,27.02.2026,
"ВЭБ.РФ, ПБО-002Р-К689",RU000A10DUB8,"15,130",,,,,,,,,,,,19.03.2026,,27.05.2026,Россия,ВЭБ.РФ,,Корпоративный,Институты развития и государственные агентства,RUB,В обращении,1 купон - 15.13% годовых.,1,Фиксированная,Купонные,"1 000,000000",AAA(RU),Withdrawn,AAA.ru,,26.02.2026,,
"ВсеИнструменты.ру, 001P-03",RU000A109VK0,"21,850","107,30","15,799","156,02",6,средняя,"0,14","0,02","0,22","2,33","367,01","0,87",,"1,12",13.04.2027,Россия,ВсеИнструменты.ру,,Корпоративный,Онлайн-ретейл,RUB,В обращении,1-30 купоны - 21.85%,12,Фиксированная,Купонные,"1 000,000000",A(RU),-,,,25.10.2024,25.10.2024,27.02.2026
"ВсеИнструменты.ру, 001Р-04",RU000A10AXP8,"24,000","103,11","18,211","436,33",7,высокая,"-0,08","-0,18","-0,52","-0,28","157,68","0,37",,"0,45",12.08.2026,Россия,ВсеИнструменты.ру,,Корпоративный,Онлайн-ретейл,RUB,В обращении,1-18 купоны - 24% годовых,12,Фиксированная,Купонные,"1 000,000000",A(RU),-,,,18.02.2025,18.02.2025,27.02.2026
"ВсеИнструменты.ру, 001Р-06",RU000A10B3Y6,"23,500","103,97","16,845","294,07",6,средняя,"-0,07","-0,12","-0,04","0,49","182,72","0,43",,"0,53",09.09.2026,Россия,ВсеИнструменты.ру,,Корпоративный,Онлайн-ретейл,RUB,В обращении,1-18 купоны - 23.5% годовых.,12,Фиксированная,Купонные,"1 000,000000",A(RU),-,,,18.03.2025,18.03.2025,27.02.2026
"Вымпелком, 001Р-02",RU000A105XE7,"9,300","88,91","14,955","27,72",6,средняя,"-0,05","-0,29","-0,41","2,71","882,43","2,10",14.09.2028,"2,79",11.12.2028,Россия,Вымпелком,,Корпоративный,Связь и телекоммуникация,RUB,В обращении,1-24 купоны - 9.3% годовых.,4,Фиксированная,Купонные,"1 000,000000",AA(RU),-,AA.ru,,10.03.2023,20.01.2025,27.02.2026
"Вымпелком, 001Р-03",RU000A105YK2,"7,300","93,59","10,490","-418,37",5,средняя,"-0,14","-0,01","0,80","3,71","872,51","2,16",18.04.2027,"2,63",15.10.2028,Россия,Вымпелком,,Корпоративный,Связь и телекоммуникация,RUB,В обращении,1-23 купоны - 7.3% годовых.,4,Фиксированная,Купонные,"1 000,000000",AA(RU),-,AA.ru,,17.03.2023,20.01.2025,27.02.2026
"Вымпелком, 001Р-04",RU000A105WK6,"8,850","89,88","14,173","-49,19",6,средняя,"0,01","0,72","0,02","4,40","852,60","2,05",16.04.2028,"2,63",15.10.2028,Россия,Вымпелком,,Корпоративный,Связь и телекоммуникация,RUB,В обращении,1-23 купоны - 8.85% годовых.,4,Фиксированная,Купонные,"1 000,000000",AA(RU),-,AA.ru,,02.03.2023,20.01.2025,27.02.2026
"Вымпелком, 001Р-05",RU000A105W81,"9,350","95,36","12,853","-165,29",6,средняя,"0,39","0,10","0,27","2,24","605,38","1,47",15.02.2027,"1,79",11.12.2027,Россия,Вымпелком,,Корпоративный,Связь и телекоммуникация,RUB,В обращении,1-19 купоны - 9.35% годовых.,4,Фиксированная,Купонные,"1 000,000000",AA(RU),-,AA.ru,,27.02.2023,20.01.2025,27.02.2026
"Вымпелком, 001Р-06",RU000A105TY3,"10,550","92,37","14,635","-4,37",5,средняя,"0,22","0,03","-0,28","0,64","884,96","2,12",14.02.2028,"2,78",09.12.2028,Россия,Вымпелком,,Корпоративный,Связь и телекоммуникация,RUB,В обращении,1-23 купоны - 10.55% годовых.,4,Фиксированная,Купонные,"1 000,000000",AA(RU),-,AA.ru,,10.02.2023,10.04.2023,27.02.2026
"Вымпелком, 001Р-07",RU000A105WP5,"9,850","88,75","14,432","-32,39",5,средняя,"-0,04","0,19","1,46","1,55","1 149,48","2,75",12.02.2029,"3,78",08.12.2029,Россия,Вымпелком,,Корпоративный,Связь и телекоммуникация,RUB,В обращении,1 купон - 9.85% годовых.,4,Фиксированная,Купонные,"1 000,000000",AA(RU),-,AA.ru,,03.03.2023,20.01.2025,27.02.2026
"Вымпелком, 001Р-08",RU000A105X80,"8,020","84,39","15,281","56,93",7,высокая,"-0,18","0,65","0,85","1,04","969,65","2,30",,"3,03",09.03.2029,Россия,Вымпелком,,Корпоративный,Связь и телекоммуникация,RUB,В обращении,1-24 купоны - 8.02% годовых.,4,Фиксированная,Купонные,"1 000,000000",AA(RU),-,AA.ru,,09.03.2023,20.01.2025,27.02.2026
"Вымпелком, 001Р-09",RU000A105YV9,"10,550",,,,,,,,,,,,,,20.03.2028,Россия,Вымпелком,,Корпоративный,Связь и телекоммуникация,RUB,В обращении,1-20 купоны - 10.55% годовых,4,Фиксированная,Купонные,"1 000,000000",AA(RU),-,AA.ru,,17.03.2023,17.03.2023,
"Вымпелком, 002Р-03",RU000A106TQ7,"7,300",,,,,,,,,,,,,,18.04.2027,Россия,Вымпелком,,Корпоративный,Связь и телекоммуникация,RUB,В обращении,1-15 купоны - 7.3% годовых,4,Фиксированная,Купонные,"1 000,000000",AA(RU),-,AA.ru,,01.09.2023,20.01.2025,
