Бумага,ISIN,Эмитент,Отрасль,Рейтинг эмитента АКРА,rating_score,"Индикативная доходность, %",dur_years,Ликвидность,score
"Сбербанк России, ИОС_PRT_GAZP-5Y-001Р-502R",RU000A1047M6,Сбербанк России,Банки,AAA(RU),6.0,16.019,0.8246575342465754,5.0,84.4
"АФК Система, 001P-14",RU000A101XN7,АФК Система,Холдинги,AA-(RU),3.0,20.79,1.0721643835616437,7.0,84.4
"ВЭБ.РФ, ПБО-001Р-19",RU000A101TB0,ВЭБ.РФ,Институты развития и государственные агентства,AAA(RU),6.0,15.091,1.2322191780821918,7.0,85.10000000000001
"Балтийский лизинг, БО-П15",RU000A10ATW2,Балтийский лизинг,Лизинг и аренда,AA-(RU),3.0,22.21,0.9569589041095891,7.0,85.2
"Сбербанк России, ИОС_PRT_IMOEX-5Y-001Р-491R",RU000A1041N7,Сбербанк России,Банки,AAA(RU),6.0,18.005,0.7479452054794521,3.0,85.2
"Сбербанк России, 001Р-SBER51",RU000A10DS74,Сбербанк России,Банки,AAA(RU),6.0,14.942,1.9307945205479453,7.0,85.50000000000001
"РЖД, 28",RU000A0JTU85,РЖД,Железнодорожный транспорт,AAA(RU),6.0,15.284,1.6964931506849317,6.0,86.0
"АФК Система, 002P-04",RU000A10CU48,АФК Система,Холдинги,AA-(RU),3.0,17.707,2.1417808219178083,7.0,86.2
"РЖД, 001P-04R",RU000A0JXZB2,РЖД,Железнодорожный транспорт,AAA(RU),6.0,15.606,1.7508219178082192,5.0,86.20000000000002
"РЖД, 001P-03R",RU000A0JXR84,РЖД,Железнодорожный транспорт,AAA(RU),6.0,15.778,2.15972602739726,4.0,86.30000000000001
"СИБУР Холдинг, 001Р-07",RU000A10C8T4,СИБУР Холдинг,Химическая и нефтехимическая промышленность,AAA(RU),6.0,14.751,2.4415068493150685,7.0,86.4
"РЖД, 001Р-43R",RU000A10BTA6,РЖД,Железнодорожный транспорт,AAA(RU),6.0,15.406,2.5635616438356164,5.0,87.39999999999999
"Роснефть, 001P-04",RU000A0JXQK2,Роснефть,Нефтегазовая отрасль,AAA(RU),6.0,15.077,1.082,7.0,88.30000000000001
"Магнит, БО-004Р-09",RU000A10CL07,Магнит,FMCG ретейл,AAA(RU),6.0,14.981,1.3392602739726027,7.0,89.4
"Ростелеком, 001P-19R",RU000A10CMD3,Ростелеком,Связь и телекоммуникация,AAA(RU),6.0,14.921,1.47372602739726,7.0,89.4
"МКПАО Яндекс, 001Р-02",RU000A10CMT9,МКПАО Яндекс,Холдинги,AAA(RU),6.0,14.821,1.746931506849315,7.0,89.6
"ВЭБ.РФ, ПБО-002Р-33",RU000A104Z48,ВЭБ.РФ,Институты развития и государственные агентства,AAA(RU),6.0,15.627,1.3043287671232877,5.0,89.7
"АФК Система, 001P-09",RU000A1005L6,АФК Система,Холдинги,AA-(RU),3.0,19.014,0.9632328767123287,7.0,90.20000000000002
"РЖД, 001P-40R",RU000A10B115,РЖД,Железнодорожный транспорт,AAA(RU),6.0,15.239,3.0339726027397265,5.0,90.7
"РЖД, 001P-05R",RU000A0ZYU05,РЖД,Железнодорожный транспорт,AAA(RU),6.0,15.762,0.9224657534246575,5.0,90.80000000000001
"НКНХ, 001P-01",RU000A0ZZZ17,НКНХ,Химическая и нефтехимическая промышленность,AAA(RU),6.0,15.095,2.292082191780822,6.0,91.5
"РЖД, 001P-38R",RU000A10AZ60,РЖД,Железнодорожный транспорт,AAA(RU),6.0,15.212,2.948191780821918,5.0,92.0
"Ростелеком, 001P-16R",RU000A10BG13,Ростелеком,Связь и телекоммуникация,AAA(RU),6.0,15.349,1.0215616438356165,6.0,92.0
"РЖД, 001P-13R",RU000A1007Z2,РЖД,Железнодорожный транспорт,AAA(RU),6.0,15.062,2.594027397260274,6.0,92.4
"ГТЛК, 002P-09",RU000A10C6F7,ГТЛК,Лизинг и аренда,AA-(RU),3.0,17.17,2.032904109589041,7.0,92.4
